序號,資料產製時間,常用搜尋關鍵字,網址,Y座標(WGS84),X座標(WGS84),開放時間,開車及搭乘大眾運輸文字描述,三碼郵遞區號,景點(或景區)地址,景點(或景區)服務電話(國碼-區碼-電話號碼),Description景點(或景區)特色精簡版文字簡述,景點(或景區)特色詳細文字簡述,景點(或景區)中文名稱,FB ID
11,2016/06/16 23:44:29,瑞芳,http://www.jfes.ntpc.edu.tw/default.asp,25.10662,121.84371,平日：不開放，假日：9點至18點開放,【大眾運輸】　1.瑞芳火車站搭乘856、788、827至「九份」站下車→豎崎交叉口轉彎左轉沿崙頂路而上即可抵達　　【自行開車】　1.中山高大華交流道→62快速公路→下瑞芳交流道→靠右方出口左轉台2丁(瑞八公路)→過瑞芳橋後右轉上九份即可抵達,224,新北市瑞芳區九份崙頂路145號,886-2-24972263,九份國小是九份地區唯一一所的小學，學校初建於民國2年，看著九份從繁榮走向沒落，卻又靠著觀光而重生。學校的四周被民宿包圍，這所小學雖然小巧，但是麻雀雖小五臟俱全，更有著絕佳的風景點。學校內更有一座非常特別的礦坑文物館，走入其中，彷彿置身於礦坑，是學校為了要配合課程推展的「鄉土教學活動」，讓全校學生從認識自己的家鄉開始，了解家鄉的文物、體驗早期的生活和演變，因此礦坑文物館與鄉土文物教育館結合。,九份國小是九份地區唯一一所的小學，學校初建於民國2年，看著九份從繁榮走向沒落，卻又靠著觀光而重生。學校的四周被民宿包圍，這所小學雖然小巧，但是麻雀雖小五臟俱全，更有著絕佳的風景點。學校內更有一座非常特別的礦坑文物館，走入其中，彷彿置身於礦坑，是學校為了要配合課程推展的「鄉土教學活動」，讓全校學生從認識自己的家鄉開始，了解家鄉的文物、體驗早期的生活和演變，因此礦坑文物館與鄉土文物教育館結合。,九份國小,183951261647139 
12,2016/06/15 12:18:27,瑞芳,,25.10981,121.84345,08:00-17:00,【大眾運輸】　1.基隆客運788、856、1062→至「九份」站下車步行即可抵達　　【自行開車】　1.國道1號：萬瑞快速公路(62快)→瑞芳→102縣道→九份 　2.台2線：金水公路→水湳洞→金瓜石→九份 　3.台2線：貢寮→台2丙線→ 102縣道→九份,224,新北市瑞芳區汽車路89號,886-2-24063270,九份遊客中心位於九份派出所的東側，遊客可以從客運站牌「九份」下車，再向前步行幾步路即可抵達。本遊客中心的主管機關是新北市政府觀光旅遊局，一樓是旅客服務區，二樓以上是辦公區域，不開放遊客進入。遊客中心的建築相當現代化，簡潔且清爽大方，一樓以玻璃構成牆面、鑲嵌於方柱中間，透明的內外視覺感可以鼓勵旅客踏進來參觀瀏覽。一樓地面採用洗石子，營造出一種身處礦石區的意象。玻璃牆外側與服務區內部均有木板凳可供遊客小憩。服務台後面有一張大型的三國語言簡要地圖，把水金九地區的一些主要觀光景點及其相對位置標定出來。第一次前來水金九地區的旅客，建議一定要先來遊客中心，可以節省很多不必要的摸索，提前一覽水金九地區的整個概況、取得寶貴資訊。旅客其他狀況例如不知道景點在哪裡、不知道該怎麼走、查詢客運車輛班車時間、各園區開放日期與時間、疑難雜症處理等，服務人員都將盡力迅速幫忙。,九份遊客中心位於九份派出所的東側，遊客可以從客運站牌「九份」下車，再向前步行幾步路即可抵達。本遊客中心的主管機關是新北市政府觀光旅遊局，一樓是旅客服務區，二樓以上是辦公區域，不開放遊客進入。 遊客中心的建築相當現代化，簡潔且清爽大方，一樓以玻璃構成牆面、鑲嵌於方柱中間，透明的內外視覺感可以鼓勵旅客踏進來參觀瀏覽。一樓地面採用洗石子，營造出一種身處礦石區的意象。玻璃牆外側與服務區內部均有木板凳可供遊客小憩。 服務台後面有一張大型的三國語言簡要地圖，把水金九地區的一些主要觀光景點及其相對位置標定出來。 第一次前來水金九地區的旅客，建議一定要先來遊客中心，可以節省很多不必要的摸索，提前一覽水金九地區的整個概況、取得寶貴資訊。旅客其他狀況例如不知道景點在哪裡、不知道該怎麼走、查詢客運車輛班車時間、各園區開放日期與時間、疑難雜症處理等，服務人員都將盡力迅速幫忙。 室內擺設了幾輛昔日輕便車的等比例模型，每輛輕便車上展示了水金九地區各種礦石與昔日採礦工具，是一個迷你博物館。牆上海報使用三國語言將九份地區的發展歷史用簡要文字分期概述。桌上也有個蓋印紀念戳章的小服務。此處陳列的小冊子，以各種語言印製，根據不同景點地區而分別作深入淺出的介紹，裡面常有印製精美的簡要地圖，是旅客最常取用的書面資料之一。 屋頂懸掛著大型電視，不間斷地播放著水金九地區重要景點的介紹。新增的大螢幕Kiosk導覽機，高度互動系統與3D的視覺效果，讓查詢者能夠更快瞭解與知悉如何抵達散佈於水金九地區的各主要地點。另一個重要的服務莫過於這邊的駐點導覽人員，一些當地或附近的居民轉為志工，義務幫旅客講解，例如週六週日例行報到的日語志工。,九份遊客中心,232663366745359 
13,2016/05/22 13:12:17,蘆洲,,25.07932,121.46641,全日開放,【大眾運輸】　1.搭乘14、232綠、811(蘆洲-聯合醫院(中興院區))、橘16(三重-捷運三民高中站)、橘17(新北產業園區-捷運三民高中站)、橘18(蘆洲-五華街)至九芎廟站下車，步行即可到達　　【自行開車】　1.國道1號至五股交流道出口下→九芎街左轉→前面岔路右轉，繼續沿九芎街前進即可到達,247,新北市蘆洲區九芎街與和平街121巷交叉口,886-2-22811484,相傳明末永曆年間，鄭成功曾率領大批軍隊來臺，討伐當時佔據臺灣的荷蘭軍隊。當軍隊行經蘆洲時，曾在中路地區西邊埋藏大量軍火，並在該處種植一棵九芎樹，作為日後挖掘的標記，後來便為蘆洲鄉民尊稱九芎公。後因九芎公神靈顯赫，香火鼎盛，民眾就在當地興建了「九芎公」廟奉祀。九芎公曾一度枯亡，目前的第四代神木，終年常綠（目前列為新北市珍貴老樹），家中小孩患「損猴之症」的信眾，多以紅布掛滿枝頭，祈求孩童平安無事，成為九芎公的另一奇景。,相傳明末永曆年間，鄭成功曾率領大批軍隊來臺，討伐當時佔據臺灣的荷蘭軍隊。當軍隊行經蘆洲時，曾在中路地區西邊埋藏大量軍火，並在該處種植一棵九芎樹，作為日後挖掘的標記，後來便為蘆洲鄉民尊稱九芎公。後因九芎公神靈顯赫，香火鼎盛，民眾就在當地興建了「九芎公」廟奉祀。九芎公曾一度枯亡，目前的第四代神木，終年常綠（目前列為新北市珍貴老樹），家中小孩患「損猴之症」的信眾，多以紅布掛滿枝頭，祈求孩童平安無事，成為九芎公的另一奇景。,九芎公廟(九芎廟),267896923298472 
14,2016/03/09 19:10:32,坪林,,24.87866,121.66281,全天開放,【大眾運輸】　可搭乘新北市新巴士坪林區F722、F723公車直接抵達。　　【自行開車】　1.從臺北走省道9號公路經新店，直走北宜公路37.5公里處可到達或走國道5號(北宜高速公路)下坪林交流道可到達。　2.從宜蘭走省道9號公路經礁溪，直走北宜公路可達或走國道5號(北宜高速公路)下坪林交流道可到達。,232,新北市坪林區粗窟里九芎根5號之1,886-2-26657251,「九芎根親水公園」位於金瓜寮產業道路，亦即觀魚自行車道的終點處，入口旁有廁所，很容易發現。親水公園裡的水是引用自金瓜寮溪的溪水，用人工渠道灌溉而成，公園裡設置了步道、涼亭以及池塘等，因為環境零污染又有乾淨水源，所以夏天這裡會出現許多螢火蟲，滿天飛舞的點點螢光超級夢幻，小朋友看到了都會高興得想要尖叫。,「九芎根親水公園」位於金瓜寮產業道路，亦即觀魚自行車道的終點處，入口旁有廁所，很容易發現。親水公園裡的水是引用自金瓜寮溪的溪水，用人工渠道灌溉而成，公園裡設置了步道、涼亭以及池塘等，因為環境零污染又有乾淨水源，所以夏天這裡會出現許多螢火蟲，滿天飛舞的點點螢光超級夢幻，小朋友看到了都會高興得想要尖叫。,九芎根親水公園,219458084777183 
15,2016/08/30 15:07:20,,www.facebook.com/pages/九個太陽文化事業有限公司/460417067363659,24.99984,121.50794,未提供,【大眾運輸】　1.搭乘捷運淡水線至古亭站，轉乘蘆洲線至永安市場站後，步行即可到達。　2.搭乘5、57、202、214、214直、241、311、311區、793、796、950、1032、F523、南軟通勤中和線公車於雙和里站下車即可到達。　　【自行開車】　1.國道三號至中和交流道出口下，行駛中正路後續行圓通路，至中和路即可到達,234,新北市永和區中和路345號14樓之1,886-2-89217035,成立的目的就是要連結原住民的神話、藝術融入現代的社會，為原住民傳統藝術撥開神秘的面紗，發展各類商品使其獨特化，而我們獨鍾具文化特色產品及品牌潛力獨特作品,成立的目的就是要連結原住民的神話、藝術融入現代的社會，為原住民傳統藝術撥開神秘的面紗，發展各類商品使其獨特化，而我們獨鍾具文化特色產品及品牌潛力獨特作品,九陽文創(非門市店鋪),
16,2016/08/12 16:53:31,"捷運,新店線,捷運新店站,新店",,24.94401,121.49556,全天開放,【大眾運輸】　1.搭乘839(專)於達觀A6站下車，步行可達。　　【自行開車】　1.本園位於新店區雙城路底，開車可由安康路3段110號轉雙城路，往山上方向行駛。園內設有停車空間39位。,231,新北市新店區雙城路279號,886-2-22104750,位於新店安坑雙城路內（安康路3段110號左轉雙城路），素有新店「安坑綠寶石」之稱的二叭子植物園，很難想像距離臺北市區約37多分鐘車程的地方，居然隱藏了一座占地約150公頃的綠蔭公園，光是沿途天然林帶與次生林帶間雜生共存的原始山林，濃郁的芬多精讓人精神為之一振，沿著二叭子溪岸鋪設的登山步道，路邊偶爾出現的植物解說牌，展現出園區裡豐富的林相，非常適合假日時與家人一同前往踏青旅行，體驗山林之美。鄰近的知名社區有達觀鎮、玫瑰中國城及臺北小城。「二叭子」地名的由來，據說和安坑早年的地形有關，因先人居高臨下看到山谷中的淺丘走勢有如一個八和一個倒八字，合起來是「二八」，故名「二叭子」。 園區 內擁有天然林帶及次生林帶間雜共存的林相，以喬木、灌木、草花為主，園區不僅視野開闊，綠意盎然，而且規劃有登山步道、核心廣場、管理中心、運動區、烤肉區等，提供民眾一個最好的休閒場地。,位於新店安坑雙城路內（安康路3段110號左轉雙城路），素有新店「安坑綠寶石」之稱的二叭子植物園，很難想像距離臺北市區約37多分鐘車程的地方，居然隱藏了一座占地約150公頃的綠蔭公園，光是沿途天然林帶與次生林帶間雜生共存的原始山林，濃郁的芬多精讓人精神為之一振，沿著二叭子溪岸鋪設的登山步道，路邊偶爾出現的植物解說牌，展現出園區裡豐富的林相，非常適合假日時與家人一同前往踏青旅行，體驗山林之美。鄰近的知名社區有達觀鎮、玫瑰中國城及臺北小城。 「二叭子」地名的由來，據說和安坑早年的地形有關，因先人居高臨下看到山谷中的淺丘走勢有如一個八和一個倒八字，合起來是「二八」，故名「二叭子」。園區 內擁有天然林帶及次生林帶間雜共存的林相，以喬木、灌木、草花為主，園區不僅視野開闊，綠意盎然，而且規劃有登山步道、核心廣場、管理中心、運動區、烤肉區等，提供民眾一個最好的休閒場地。,二叭子植物園,2Park279
17,2016/08/29 17:30:02,鶯歌,,24.95944,121.36251,未提供,【大眾運輸】　1.於板橋捷運站轉搭702公車於牛灶坑站下車，步行即可到達。　2.於鶯歌火車站轉搭F651公車於建德社區[新巴士]站下車，步行即可到達。　　【自行開車】 　1.國道3號(北二高)→三鶯交流道下→往鶯歌方向過三鶯大橋接文化路，在轉接中正一路，彎入建德二巷行駛即抵達。　2.國道2號(桃園內環線)→大湳交流道(八德/鶯歌出口)下→走桃鶯路往鶯歌方向，,239,新北市鶯歌區建德二巷14號,886-2-29603456,位在孫龍步道途中的鶯石亭附近，以前是輕便車路(運煤鐵路)，供載運煤礦來往附近已封坑多年的五益煤礦二坑。這條小隧道所在的輕便車路段，原本是一處彎度比較大的彎道，相關單位為顧及安全，遂截彎取直，開鑿這段小隧道。由於二坑隧道是鶯歌山區唯一的小隧道，長度僅約有十公尺，寬度也僅五公尺，屬於比較少見的迷你型隧道，常引起登山民眾好奇觀看或拍照留念。,位在孫龍步道途中的鶯石亭附近，以前是輕便車路(運煤鐵路)，供載運煤礦來往附近已封坑多年的五益煤礦二坑。這條小隧道所在的輕便車路段，原本是一處彎度比較大的彎道，相關單位為顧及安全，遂截彎取直，開鑿這段小隧道。由於二坑隧道是鶯歌山區唯一的小隧道，長度僅約有十公尺，寬度也僅五公尺，屬於比較少見的迷你型隧道，常引起登山民眾好奇觀看或拍照留念。,二坑隧道,211183452658919 
18,2016/05/23 11:31:43,蘆洲,,25.06688,121.47021,全日開放,【大眾運輸】　1.搭乘公車806至「穀保家商」站下車→沿中正北路560巷直行即可抵達　　【自行開車】　1.從台北來→走民權西路過台北橋→轉重新路到重新橋下的停車場停車　2.從新莊來→走中山高架道路轉重新路到重新橋下的河堤停車場　3.從八里來→走承泰路接成蘆大橋(可在橋下停車場停車),247,新北市蘆洲區疏洪道,886-2-22811484,全長約20公里，行經三重、蘆洲、五股等地，沿途有淡水河岸泥灘紅樹林區、運動公園、跳蚤市場、賞鳥區、溫仔圳農村生態區、萬善同、荷花、蓮花池、五股沼澤生態區。寬闊廣大的疏洪道，是三重、五股、蘆洲及大臺北地區假日休閒運動的最佳地點，沿途有自行車出租，適宜全家一同親子同樂。,全長約20公里，行經三重、蘆洲、五股等地，沿途有淡水河岸泥灘紅樹林區、運動公園、跳蚤市場、賞鳥區、溫仔圳農村生態區、萬善同、荷花、蓮花池、五股沼澤生態區。寬闊廣大的疏洪道，是三重、五股、蘆洲及大臺北地區假日休閒運動的最佳地點，沿途有自行車出租，適宜全家一同親子同樂。,二重環狀自行車道,220837224601262 
19,2016/03/28 17:12:55,石碇,http://www.tfsc.org.tw/index.html,24.95737,121.63869,星期二~星期日 09:00-17:00；星期一休園,【大眾運輸】　自捷運新店站轉搭綠12新店客運，至小格頭站下車後，往坪林方向步行，左轉北47線，步行約15分鐘即可抵達園區入口。　　【自行開車】 　1.北宜公路(台九線)　從新店到小格頭，車程約20分鐘，於台九線路標24.5公里處，左轉北47線，約行駛800公尺，扺達園區入口。　2.走國道3號接國道5號，台北往宜蘭方向（西向東），從石碇交流道下先左轉，再右轉,223,新北市石碇區碇格路二段31號,886-2-26651166,二格山自然中心位於石碇區格頭村，海拔225~496公尺，屬低海拔森林山區，由於這塊土地20多年來沒有人為開發，保留了相當原始豐富的森林生態景觀，提供給各種生物棲息。此外；中心週邊因為先民過去開墾荒地生活的關係，保有相當豐富的人文遺跡，包括了梯田、茶園、大菁、蕃格古道等等。,二格山自然中心(K2 Nature Center)是台灣第一所由民間組織籌設經營的環境學習中心。以3公頃私有原始林地，規劃設計不同的環境學習課程，引領大眾走入森林、小溪，在秀麗的山嶺享受開?的田野，嘗試和野生動物相遇的驚喜，體會野城之美，尋求人與自然的和諧。 二格山自然中心位於石碇區格頭村，海拔225~496公尺，屬低海拔森林山區，由於這塊土地20多年來沒有人為開發，保留了相當原始豐富的森林生態景觀，提供給各種生物棲息。此外；中心週邊因為先民過去開墾荒地生活的關係，保有相當豐富的人文遺跡，包括了梯田、茶園、大菁、蕃格古道等等。 【入園須知】 1.園區星期一休園。 2.園區內全區禁菸。 3.園區內寵物不落地。 4.園區內禁止採取任何植物，請共同維護生態。 5.二格山自然中心提供之活動與餐飲需事先預訂，恕無法受理現場報名。 6.二格山自然中心教室僅提供活動使用，請訪客勿擅自使用。 7.為維護環境乘載量，超過10人以上團體入園參觀，請先來電(02)2665-1166預約。,二格山自然中心,142814345824307 
20,2016/03/28 16:55:33,石碇,,24.95682,121.62386,全天開放,【大眾運輸】　新店捷運站搭乘新店客運綠12號至栳寮站下車。　　【自行開車】　往新店方向，上9號省道直行，於北宜公路23K處(小格頭)即可見二格公園。,223,新北市石碇區二格公園,886-2-26631080,二格公園座落於石碇東南方格頭里內西側，從新店北宜公路起算約23公里處，正為於該路之路旁，車輛來往極頻繁，為重要觀光景點之一。因地處山明水秀之格頭里，公園旁依傍著風景秀麗的翡翠水庫與鳥語花香的烏來區相望，並依附著二格山系與臺北市文山區木柵貓空茶園相鄰，景緻怡人，詩情畫意，遊客絡繹不絕，流連忘返。而為了將石碇區生產的高品質農產品介紹給遊客認識，而把原本規劃成觀光休閒自行車道的二格公園，打造成一座農產品展售中心。共有十多個攤位，以及兩個遊客服務中心，在展售中心的二樓是開放式空間，可供欣賞美景，讓遊客休息及品嚐當地美食，不論地點或設施，都是遊客很好的停註點,二格公園座落於石碇東南方格頭里內西側，從新店北宜公路起算約23公里處，正為於該路之路旁，車輛來往極頻繁，為重要觀光景點之一。因地處山明水秀之格頭里，公園旁依傍著風景秀麗的翡翠水庫與鳥語花香的烏來區相望，並依附著二格山系與臺北市文山區木柵貓空茶園相鄰，景緻怡人，詩情畫意，遊客絡繹不絕，流連忘返。而為了將石碇區生產的高品質農產品介紹給遊客認識，而把原本規劃成觀光休閒自行車道的二格公園，打造成一座農產品展售中心。共有十多個攤位，以及兩個遊客服務中心，在展售中心的二樓是開放式空間，可供欣賞美景，讓遊客休息及品嚐當地美食，不論地點或設施，都是遊客很好的停註點,二格公園(農產品展售中心),142389459166411 
21,2015/07/09 11:36:00,三芝,http://www.no2-wh.com/,25.25868,121.50081,週一 - 週日：11:00 到 21:00,【大眾運輸】　1.於淡水捷運站前、基隆火車站旁搭乘兩地對淡水或基隆客運，於「三芝」站下車，再走約200公尺即可到達　　【自行開車】　1.高速公路國道3號(基金交流道)→2號省道→萬里→金山→石門→三芝　2.高速公路國道1號(五股交流道)→64號快速道路→八里五股(往淡水方向)→關渡大橋→竹圍→紅樹林→2號省道→三芝　3.臺北→仰德大道→陽金公路→巴拉卡公路(,252,新北市三芝區中山路一段4號（三芝農會旁）,"886-2-26363000,886-2-26361052",原是農會破舊不堪的倉庫，在農委會政策及在地的藝術家協助下，蛻變為具休閒人文特色的藝文展覽館，展示三芝區藝術家的創作，是個可以盡情欣賞手工藝品、裝置藝術、陶藝品的地方。充滿人文藝術氣息的一號倉庫，室內溫馨的燈光、舒適的座位，與三芝純樸的風味，形成一種悠閒雅緻的氣息。,原是農會破舊不堪的倉庫，在農委會政策及在地的藝術家協助下，蛻變為具休閒人文特色的藝文展覽館，展示三芝區藝術家的創作，是個可以盡情欣賞手工藝品、裝置藝術、陶藝品的地方。充滿人文藝術氣息的一號倉庫，室內溫馨的燈光、舒適的座位，與三芝純樸的風味，形成一種悠閒雅緻的氣息。原本是廢棄的倉庫，經過設計師的巧思，蛻變成一處嶄新的文人集散聖地。從那優雅的燈籠到廳內的桌椅，一景一物都有設計師澎湃的設計理念。這處融合了傳統建築與現代氣息的藝文新天地位於三芝區農會旁，來到三芝區很容易就會發現它。如此兼顧實用與特色的設計，讓一號倉庫更具有歷史意義。,二號倉庫．文創,148190511941205 
22,2016/09/14 17:26:22,"捷運,中和線,捷運永安市場站,中和",,25.00136,121.51172,全年無休,【大眾運輸】　1.搭乘公車F513、F525、F526於八二三紀念公園[新巴士]站下車　2.於捷運中山國中站搭乘公車5於中安街站下車，步行可到達　　【自行開車】　自北二高中和交流道下，走中正路接景平路直行後左轉安平路。,235,新北市中和區中安街、安樂路、安平路及永貞路間,886-2-29603456,公園位於秀安區，介於中安街與安平路口，可搭乘捷運南勢角線永安站下車。佔地面積有10.804公頃，公園設施有籃球場、兒童遊戲區、圖書館、交通隊、廁所。,公園位於秀安區，介於中安街與安平路口，可搭乘捷運南勢角線永安站下車。佔地面積有10.804公頃，公園設施有籃球場、兒童遊戲區、圖書館、交通隊、廁所。,八二三紀念公園,234112839939372 
23,2016/06/15 12:07:38,三芝,http://www.basiangong.com/,25.27357,121.49961,06:00~21:00,【大眾運輸】　1.可搭乘往三芝、石門、金山、基隆之客運班車於「三芝站」下車後，步行約22分鐘即可到達。 　　【自行開車】　1.走中山高於五股交流道出口下交流道→接臺15線→接臺2線→請於社后路左轉(可於左手邊看到八仙宮導引牌)→一路前行沿著路牌指示左轉後可抵。,252,新北市三芝區新庄里蕃社后31之1號,886-2-26360743,是一座奉祀「李仙祖鐵拐」及八仙眾神的廟宇，臨近海邊，風景秀麗，是個修身養性，參觀膜拜的好地方。香客除了可以來參拜外，三芝區八仙宮更融入周遭的風景人文，每年也會有固定的慈善活動與地方接軌的茭白筍季、櫻花季等，很適合帶全家大小來一趟深度之旅！,是一座奉祀「李仙祖鐵拐」及八仙眾神的廟宇，臨近海邊，風景秀麗，是個修身養性，參觀膜拜的好地方。民國62年農曆8月22日，村民江奎泳先生之公子，於新庄村番社后之海邊附近拾得一神尊，經請示後，得知乃為「李仙祖鐵拐」（凝陽帝君），建廟前便不斷有起乩的事情頻傳，直到廟落成後情況才好轉。近幾年香火逐漸興盛起來，慕名而來的信眾也逐漸增多，其中也有不少藝人明星和政治人物遠到祈福，電視台也爭相來此取景、取材拍攝電視電影節目，香客除了可以來參拜外，三芝區八仙宮更融入周遭的風景人文，每年也會有固定的慈善活動與地方接軌的茭白筍季、櫻花季等，很適合帶全家大小來一趟深度之旅！,八仙宮,8immortal
24,2016/04/29 16:39:50,八里,,25.15844,121.43471,未提供,【大眾運輸】　1.搭乘捷運淡水線至淡水站，沿淡水老街步行至渡船頭搭乘渡輪至八里左岸碼頭　2.在捷運關渡站轉紅13路公車至渡船頭站下車即可抵達。　　【自行開車】　1、臺北→關渡大橋→龍形路→龍米路→八里渡船頭老街　2、中山高速公路→林口交流道→105線道→八里,249,新北市八里區渡船頭街,886-2-26102621,八里比淡水還早開港，是臺北早前與大陸通商的港口，商業繁盛時期甚至有13個行郊，用以應付各式貿易需求，十三行象徵八里燦爛美好的時期，也被考古學家用來稱呼近年發現的新石器文化遺跡。交通便捷的八里，可以從淡水搭渡船，也可以沿淡水河岸騎腳踏車抵達，大片的綠地、露天咖啡座和造形獨特的博物館，讓八里脫胎換骨，搖身成為新北市的休閒新左岸。,八里比淡水還早開港，是臺北早前與大陸通商的港口，商業繁盛時期甚至有13個行郊，用以應付各式貿易需求，十三行象徵八里燦爛美好的時期，也被考古學家用來稱呼近年發現的新石器文化遺跡。交通便捷的八里，可以從淡水搭渡船，也可以沿淡水河岸騎腳踏車抵達，大片的綠地、露天咖啡座和造形獨特的博物館，讓八里脫胎換骨，搖身成為新北市的休閒新左岸。 八里渡船頭老街是八里「資深」的景點之一，地點就位在港口旁的街道，以往進出八里的人多會聚集在此，因此逐漸形成了一個市集，街邊的小販賣著剛捕撈上來的漁獲，其中最有名的就是孔雀蛤，很多來八里的人都會帶一袋新鮮的孔雀蛤回家。 在改造工程之後，老街的面貌也不同於以往，原本雜亂無章的街道，重新鋪石整建後蛻變為整齊的畫面，紅瓦白牆的小店家則襯出臺灣鄉村渡口的奇特風味，餐廳和小吃也顯得更加有魅力了，鹹蛋、胡椒餅、雙胞胎、蝦捲、吻仔魚、炸花枝丸等讓，你一上岸就可以大快朵頤。,八里(渡船頭)老街,177662648970146 
25,2016/04/29 17:42:17,八里,http://baliwufu.com.tw/main.aspx?page=game,25.15137,121.43369,未提供,【大眾運輸】　1.搭乘捷運淡水線至淡水站→計程車至五福宮　2.捷運關渡站下車，搭紅22、紅13公車至八里渡船頭→計程車至五福宮　3.捷運淡水線→八里渡船頭→計程車至五福宮　4.可搭乘捷運至捷運關渡站，轉搭紅22前往至渡船頭站下車，再依指示前往。　　【自行開車】　1.國道一號：至五股交流道下→經由臺64線高架交流道上台64線→於八里交流道下→經由中華路至龍米路,249,新北市八里區渡船頭二號,886-2-26101895,創建於1986年的八里五福宮，是八里求財運的另一選擇。建廟的發起人為了求財運，專程從北港武德宮的五路財神爺廟分靈來祭祀，事後因為各界善男信女響應捐款，讓擴建的廟堂顯得雕樑畫棟、巍峨輝煌。,創建於1986年的八里五福宮，是八里求財運的另一選擇。建廟的發起人為了求財運，專程從北港武德宮的五路財神爺廟分靈來祭祀，事後因為各界善男信女響應捐款，讓擴建的廟堂顯得雕樑畫棟、巍峨輝煌。,八里五福宮,151329344920973 
